Accession ID	Collection date	Submission date	Location
EPI_ISL_11225796	2021-12-28	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225807	2021-12-28	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225830	2021-12-31	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225860	2021-12-27	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11303003	2021-12-27	2022-03-23	Europe / France / Ile-de-France / Paris
EPI_ISL_11303094	2021-12-20	2022-03-23	Europe / France / Ile-de-France / Paris
EPI_ISL_11303122	2021-12-16	2022-03-23	Europe / France / Ile-de-France / Paris
EPI_ISL_11303131	2021-12-15	2022-03-23	Europe / France / Ile-de-France / Paris
EPI_ISL_11371919	2022-01-10	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11372137	2022-01-07	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Allier
EPI_ISL_11372340	2021-12-30	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Allier
EPI_ISL_11372371	2022-01-03	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Puy-de-Dome
EPI_ISL_11372396	2021-12-27	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11372400	2021-12-27	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Cantal
EPI_ISL_11372421	2021-12-30	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Allier
EPI_ISL_11372441	2021-12-27	2022-03-25	Europe / France / Occitanie / Gers
EPI_ISL_11372721	2021-12-27	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11372767	2021-12-27	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11372784	2021-12-20	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Cantal
EPI_ISL_11372833	2021-12-27	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11372839	2021-12-20	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Cantal
EPI_ISL_11372844	2021-12-20	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Cantal
EPI_ISL_11372848	2021-12-20	2022-03-25	Europe / France / Auvergne-Rhone-Alpes / Cantal
EPI_ISL_11372899	2021-12-27	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11373018	2021-12-27	2022-03-25	Europe / France / Ile-de-France / Le Chesnay
EPI_ISL_11377257	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377259	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377282	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377291	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377348	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377360	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11377374	2021-12-20	2022-03-25	Europe / France / Nouvelle-Aquitaine / Gironde
EPI_ISL_11378347	2021-12-17	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378355	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378385	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378412	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11378415	2021-12-20	2022-03-25	Europe / France / Hauts-de-France / Nord
EPI_ISL_11467593	2021-12-20	2022-03-28	Europe / France / Ile-de-France / Val-de-Marne
EPI_ISL_11488323	2022-01-03	2022-03-28	Europe / France / Auvergne-Rhone-Alpes / Isere
EPI_ISL_11490614	2021-12-23	2022-03-28	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11503769	2021-12-27	2022-03-29	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11506827	2022-01-03	2022-03-29	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11580069	2022-01-13	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11580259	2022-01-10	2022-03-31	Europe / France / Nouvelle-Aquitaine / Charente
EPI_ISL_11580357	2021-12-31	2022-03-31	Europe / France / Nouvelle-Aquitaine / Charente
EPI_ISL_11580458	2021-12-29	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11580490	2021-12-27	2022-03-31	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11580607	2021-12-27	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11580608	2021-12-27	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11580759	2021-12-19	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11580765	2021-12-19	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11592947	2021-12-27	2022-03-31	Europe / France / Grand Est / Haut-Rhin
EPI_ISL_11602345	2021-12-20	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11602494	2021-12-20	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11602624	2021-12-20	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11602930	2021-12-20	2022-03-31	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11804153	2021-12-27	2022-04-06	Europe / France / Provence-Alpes-Cote d’Azur / Var
EPI_ISL_11804213	2021-12-27	2022-04-06	Europe / France / Auvergne-Rhone-Alpes / Savoie
EPI_ISL_11804757	2021-12-27	2022-04-06	Europe / France / Ile-de-France / Paris
EPI_ISL_11805248	2021-12-27	2022-04-06	Europe / France / Ile-de-France / Hauts-de-Seine
EPI_ISL_11825775	2021-12-27	2022-04-07	Europe / France / Bourgogne-Franche-Comte / Haute-Saone
EPI_ISL_11825776	2021-12-27	2022-04-07	Europe / France / Bourgogne-Franche-Comte / Haute-Saone
EPI_ISL_11825956	2021-12-23	2022-04-07	Europe / France / Bourgogne-Franche-Comte / Cote-d’Or
EPI_ISL_11825963	2021-12-23	2022-04-07	Europe / France / Bourgogne-Franche-Comte / Cote-d’Or
EPI_ISL_11825970	2021-12-25	2022-04-07	Europe / France / Bourgogne-Franche-Comte / Cote-d’Or
EPI_ISL_11826006	2021-12-15	2022-04-07	Europe / France / Bourgogne-Franche-Comte / Cote-d’Or
EPI_ISL_11868420	2022-01-04	2022-04-08	Europe / France / Provence-Alpes-Cote d’Azur / Bouches-du-Rhone
EPI_ISL_11869355	2021-12-31	2022-04-08	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11869373	2021-12-31	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11869481	2021-12-31	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11869567	2021-12-31	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11870973	2022-01-03	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11882219	2021-12-30	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11883262	2022-01-02	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11883341	2022-01-03	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11884721	2021-12-31	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11884796	2021-12-30	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11884848	2021-12-30	2022-04-08	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11884902	2021-12-30	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11885211	2021-12-30	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11885401	2021-12-30	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11886063	2021-12-28	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11886097	2021-12-28	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11886159	2021-12-29	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11886172	2021-12-29	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11886178	2021-12-29	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11886185	2021-12-29	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11886211	2021-12-29	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11886216	2021-12-29	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11886274	2021-12-29	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11888092	2021-12-28	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11888112	2021-12-28	2022-04-08	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11888140	2021-12-28	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11888161	2021-12-28	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11888208	2021-12-28	2022-04-08	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11888229	2021-12-28	2022-04-08	Europe / France / Auvergne-Rhone-Alpes / Ain
